Price,Close,High,Low,Open,Volume
Ticker,BBCA,BBCA,BBCA,BBCA,BBCA
Date,,,,,
2020-01-02,45.507198333740234,45.54208391415012,45.29788817815299,45.52464112394518,75200
2020-01-03,45.40254211425781,45.48975273302229,45.280442590366945,45.367656536003274,85200
2020-01-06,45.559532165527344,45.59441442324647,45.22812576565222,45.22812576565222,72550
2020-01-07,45.57697296142578,45.61185854703574,45.41999447992608,45.41999447992608,113700
2020-01-08,45.559532165527344,45.733953434740336,45.52464658093576,45.66418559242963,72900
2020-01-09,45.664180755615234,45.664180755615234,45.52464175890153,45.54208454934976,71700
2020-01-10,45.6467399597168,45.733950588896526,45.559529330537075,45.69906833334798,99450
2020-01-13,45.87350082397461,45.87350082397461,45.59442275001967,45.68163672742625,62350
2020-01-14,45.96070098876953,45.97814377900875,45.751390832770966,45.751390832770966,64400
2020-01-15,46.15256881713867,46.20489719215289,45.92581917915506,45.94326197082647,79800
2020-01-16,46.396766662597656,46.396766662597656,46.222342064902776,46.222342064902776,106150
2020-01-17,46.483970642089844,46.51885622200814,46.379317229206954,46.431645599084405,75750
2020-01-21,46.483970642089844,46.57118459188559,46.41420280912526,46.483970642089844,86700
2020-01-22,46.326988220214844,46.60606620196713,46.326988220214844,46.60606620196713,66950
2020-01-23,46.396766662597656,46.449091713095385,46.1002458445781,46.204899272446035,103450
2020-01-24,46.27467346191406,46.501423124903155,46.030477678457295,46.39676969020609,94950
2020-01-27,45.75139617919922,45.87349239826964,45.43743257194817,45.71651059464411,103450
2020-01-28,46.03047180175781,46.04791459312585,45.733951002245604,45.733951002245604,133850
2020-01-29,45.87350082397461,46.06536824739603,45.87350082397461,46.01303986095208,80500
2020-01-30,45.90837478637695,45.90837478637695,45.472314990416876,45.52464336360609,71750
2020-01-31,45.28044891357422,45.629298091091044,45.08858486012505,45.629298091091044,89800
2020-02-03,45.17580032348633,45.507206744890354,45.17580032348633,45.36766772433171,75350
2020-02-04,45.59441375732422,45.76883835086214,45.57697096528318,45.64674213344732,88250
2020-02-05,45.97814178466797,46.03046682624392,45.82116000619628,45.87348504777223,62950
2020-02-06,46.204898834228516,46.22234162651982,45.960706395895144,46.08280261506183,85850
2020-02-07,45.94325256347656,46.04790596520382,45.856041949849136,45.99558092777602,99600
2020-02-10,46.06535720825195,46.10024279085457,45.78627920117552,45.78627920117552,110000
2020-02-11,46.25722122192383,46.396760215314934,46.222335641858045,46.222335641858045,94950
2020-02-12,46.483970642089844,46.67583800476848,46.483970642089844,46.67583800476848,59700
2020-02-13,46.483970642089844,46.57118459188559,46.34443164928866,46.34443164928866,78000
2020-02-14,46.640953063964844,46.640953063964844,46.501414069251574,46.553742439846076,160800
2020-02-18,46.588623046875,46.606065836456715,46.344430646474834,46.43164459438342,66300
2020-02-19,46.81537628173828,46.88514411363608,46.64095171168584,46.64095171168584,76550
2020-02-20,46.7630500793457,46.937474657479804,46.51885766608123,46.797935660346944,83250
2020-02-21,46.640953063964844,46.81537763907444,46.60606748356851,46.79793484887628,86350
2020-02-24,45.629295349121094,45.82116271791282,45.40254572617169,45.40254572617169,180750
2020-02-25,44.669960021972656,45.78627187157593,44.54786382928126,45.681618467393555,120950
2020-02-26,44.233909606933594,45.036258086118174,44.19902402256754,44.60019826215983,91550
2020-02-27,42.55944061279297,43.50133148388078,42.55944061279297,43.48388869068961,154650
2020-02-28,42.0710563659668,42.0710563659668,40.95474087245907,41.495457489186514,265150
2020-03-02,42.978050231933594,42.978050231933594,41.84429548567058,41.931509436535144,168400
2020-03-03,42.45478820800781,43.50133253669849,42.3152491859739,43.117597730950706,148950
2020-03-04,43.20480728149414,43.274575121941254,42.68153350721515,43.08271106555742,110550
2020-03-05,42.5245475769043,42.995492929947375,42.22802679834444,42.22802679834444,231300
2020-03-06,41.66987228393555,41.84429686454035,41.1814874504887,41.70475786543094,174850
2020-03-09,36.41971969604492,38.7221186558972,36.384837434085284,37.81511330748929,341150
